t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0,0.1266,0.9814,0.0534,3.850,5.740,-2.520
10,0.1188,0.9784,0.0505,3.500,4.760,-2.310
20,0.1174,0.9787,0.0481,2.240,3.990,-2.520
30,0.1179,0.9806,0.0478,1.610,3.920,-2.590
40,0.1164,0.9782,0.0468,1.050,3.710,-2.660
50,0.1149,0.9782,0.0447,0.280,3.360,-2.730
60,0.1144,0.9775,0.0400,-0.420,3.290,-2.940
70,0.1157,0.9765,0.0395,-1.190,3.220,-3.150
80,0.1139,0.9789,0.0405,-1.400,3.010,-3.360
90,0.1149,0.9923,0.0425,-2.030,1.400,-3.570
100,0.1188,0.9972,0.0388,-1.890,0.420,-3.710
110,0.1203,1.0009,0.0368,-1.890,-0.700,-3.780
120,0.1222,1.0038,0.0395,-2.100,-1.470,-3.780
130,0.1227,1.0048,0.0451,-2.240,-1.750,-3.990
140,0.1235,1.0028,0.0495,-1.610,-2.100,-3.990
150,0.1242,0.9965,0.0515,-1.120,-2.520,-4.060
160,0.1210,0.9841,0.0508,-0.770,-2.660,-3.710
170,0.1213,0.9792,0.0495,-0.700,-2.450,-3.500
180,0.1186,0.9777,0.0498,-0.910,-2.310,-3.220
190,0.1174,0.9758,0.0508,-1.330,-2.450,-2.870
199,0.1159,0.9723,0.0490,-2.030,-2.520,-2.870
209,0.1176,0.9706,0.0488,-2.660,-2.730,-2.590
219,0.1205,0.9697,0.0493,-3.430,-2.800,-2.590
229,0.1181,0.9748,0.0439,-3.920,-3.500,-2.660
239,0.1159,0.9799,0.0395,-4.690,-3.570,-2.450
249,0.1159,0.9855,0.0359,-5.110,-3.500,-2.310
259,0.1157,0.9882,0.0339,-5.320,-3.080,-2.100
269,0.1154,0.9928,0.0332,-5.320,-2.870,-1.820
279,0.1142,0.9955,0.0312,-5.320,-2.800,-1.540
289,0.1127,0.9992,0.0293,-5.460,-2.450,-1.540
299,0.1098,1.0028,0.0290,-5.110,-2.240,-1.470
309,0.1078,1.0043,0.0298,-4.060,-1.820,-1.050
319,0.1098,1.0026,0.0303,-3.500,-1.750,-0.770
329,0.1098,1.0002,0.0346,-3.360,-1.820,-0.210
339,0.1103,0.9960,0.0354,-2.870,-1.820,-0.140
349,0.1110,0.9948,0.0359,-2.310,-1.470,-0.070
359,0.1120,0.9911,0.0349,-2.100,-1.400,-0.140
369,0.1108,0.9914,0.0332,-1.470,-0.980,-0.140
379,0.1071,0.9877,0.0261,-0.420,-1.050,-0.630
389,0.1064,0.9858,0.0232,-0.490,-1.330,-0.700
399,0.1064,0.9831,0.0234,-0.840,-1.750,-0.560
408,0.1071,0.9831,0.0222,-1.050,-2.100,-0.420
418,0.1086,0.9831,0.0222,-1.540,-2.030,-0.420
428,0.1118,0.9850,0.0229,-2.310,-2.380,0.000
438,0.1139,0.9884,0.0266,-3.150,-2.450,0.000
448,0.1179,0.9911,0.0305,-3.920,-2.730,-0.140
458,0.1179,0.9909,0.0332,-4.550,-2.730,-0.350
468,0.1149,0.9892,0.0354,-4.690,-2.870,-0.490
478,0.1122,0.9877,0.0364,-4.690,-2.800,-0.070
488,0.1098,0.9782,0.0351,-4.900,-2.590,0.350
498,0.1059,0.9711,0.0329,-4.970,-2.100,0.700
508,0.1032,0.9658,0.0356,-5.600,-1.680,0.980
518,0.0966,0.9611,0.0339,-6.440,-1.330,0.980
528,0.0847,0.9618,0.0322,-7.420,-0.350,0.770
538,0.0803,0.9655,0.0290,-8.260,0.140,0.560
548,0.0791,0.9748,0.0244,-8.540,0.770,0.210
558,0.0830,0.9826,0.0217,-8.680,1.330,0.000
568,0.0866,0.9919,0.0198,-8.610,2.030,-0.280
578,0.0935,0.9963,0.0195,-7.910,2.450,-0.490
588,0.1037,0.9972,0.0163,-6.790,2.590,-0.840
598,0.1379,0.9960,0.0142,-4.830,2.450,-1.120
607,0.1569,0.9984,0.0195,-4.550,1.890,-1.190
617,0.1632,0.9994,0.0227,-3.990,0.840,-1.470
627,0.1701,1.0011,0.0232,-3.780,-0.070,-1.820
637,0.1723,1.0033,0.0268,-3.850,-0.980,-2.520
647,0.1732,1.0043,0.0268,-4.200,-2.030,-3.010
657,0.1723,1.0085,0.0278,-4.130,-2.870,-3.360
667,0.1686,1.0114,0.0276,-4.410,-3.010,-3.430
677,0.1710,1.0082,0.0232,-2.240,-3.430,-2.730
687,0.1698,1.0041,0.0215,-0.420,-3.640,-1.890
697,0.1671,0.9970,0.0173,1.260,-3.780,-1.050
707,0.1669,0.9914,0.0142,2.660,-3.780,-0.210
717,0.1674,0.9860,0.0090,3.780,-3.710,0.700
727,0.1662,0.9799,0.0049,4.970,-3.780,1.400
737,0.1693,0.9750,0.0068,5.460,-3.920,1.960
747,0.1708,0.9767,0.0134,5.040,-4.830,2.170
757,0.1725,0.9762,0.0195,4.270,-5.670,1.960
767,0.1752,0.9753,0.0232,3.570,-6.720,1.610
777,0.1757,0.9721,0.0290,2.800,-7.980,1.190
787,0.1715,0.9699,0.0344,2.100,-9.380,0.490
797,0.1645,0.9645,0.0390,1.260,-10.780,-0.070
806,0.1557,0.9618,0.0373,0.910,-12.250,-0.980
816,0.1515,0.9548,0.0276,-0.280,-14.350,-2.240
826,0.1457,0.9543,0.0222,-1.400,-15.330,-2.800
836,0.1393,0.9589,0.0198,-2.380,-15.960,-3.430
846,0.1391,0.9623,0.0178,-3.080,-15.890,-3.500
856,0.1330,0.9677,0.0146,-3.850,-15.540,-3.290
866,0.1364,0.9733,0.0156,-4.270,-15.190,-3.220
876,0.1347,0.9814,0.0132,-4.410,-14.770,-2.940
886,0.1437,0.9926,0.0161,-4.200,-13.370,-2.450
896,0.1457,0.9941,0.0173,-3.640,-12.670,-2.170
906,0.1481,0.9963,0.0183,-2.940,-12.040,-1.750
916,0.1542,0.9960,0.0193,-2.170,-11.270,-1.260
926,0.1606,0.9931,0.0168,-0.980,-10.500,-0.700
936,0.1669,0.9941,0.0151,0.070,-9.800,-0.140
946,0.1784,0.9923,0.0105,1.050,-9.450,0.210
956,0.1889,0.9841,0.0049,1.820,-9.310,0.280
966,0.1908,0.9804,0.0037,2.380,-9.520,-0.280
976,0.1945,0.9745,0.0034,2.240,-10.080,-0.840
986,0.1920,0.9699,0.0049,1.820,-10.500,-1.190
996,0.1871,0.9658,0.0076,1.190,-10.990,-1.540
1006,0.1825,0.9640,0.0120,0.350,-11.480,-1.610
1016,0.1781,0.9604,0.0137,0.280,-12.110,-1.820
