t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1,0.1608,0.7676,-0.4531,0.210,0.490,-1.610
11,0.1576,0.7686,-0.4512,0.070,0.280,-1.680
21,0.1571,0.7691,-0.4499,0.070,0.140,-1.680
31,0.1562,0.7708,-0.4509,-0.140,0.000,-1.820
41,0.1545,0.7740,-0.4507,-0.350,-0.210,-2.240
51,0.1532,0.7788,-0.4504,-0.350,-0.350,-2.450
60,0.1545,0.7832,-0.4514,-0.490,-0.490,-2.800
70,0.1552,0.7991,-0.4477,-0.560,-0.770,-3.010
80,0.1569,0.8086,-0.4468,-0.070,-0.840,-2.940
90,0.1579,0.8142,-0.4458,0.770,-0.910,-2.450
100,0.1584,0.8164,-0.4443,1.750,-0.420,-1.890
110,0.1601,0.8162,-0.4468,2.590,-0.350,-1.470
120,0.1613,0.8154,-0.4473,3.010,-0.140,-0.770
130,0.1615,0.8147,-0.4470,3.430,0.210,-0.420
140,0.1613,0.8140,-0.4372,3.570,0.000,-0.350
150,0.1593,0.8106,-0.4304,4.410,0.140,0.000
160,0.1579,0.8057,-0.4292,5.180,0.280,0.070
170,0.1552,0.8013,-0.4292,6.020,0.490,-0.140
180,0.1537,0.7979,-0.4314,6.650,0.770,-0.630
190,0.1520,0.7954,-0.4311,7.000,1.190,-0.980
200,0.1525,0.7979,-0.4321,7.210,1.190,-1.680
210,0.1501,0.7984,-0.4319,7.070,1.120,-2.240
219,0.1501,0.8032,-0.4365,7.630,0.770,-3.500
229,0.1479,0.8052,-0.4397,7.840,0.420,-3.780
239,0.1523,0.8074,-0.4407,7.840,0.140,-4.200
249,0.1537,0.8101,-0.4402,7.840,0.000,-4.480
259,0.1562,0.8125,-0.4392,7.770,0.140,-4.620
269,0.1598,0.8150,-0.4382,7.770,0.350,-4.620
279,0.1623,0.8169,-0.4363,7.910,0.840,-4.410
289,0.1657,0.8220,-0.4324,9.030,1.610,-4.270
299,0.1662,0.8215,-0.4346,9.520,1.890,-4.060
309,0.1667,0.8181,-0.4363,10.010,1.960,-3.990
319,0.1652,0.8140,-0.4360,10.500,2.170,-3.780
329,0.1625,0.8072,-0.4353,10.920,2.170,-3.500
339,0.1606,0.8025,-0.4321,10.920,2.310,-3.010
349,0.1586,0.7984,-0.4311,10.850,2.380,-2.940
359,0.1598,0.7986,-0.4224,10.640,2.380,-2.800
369,0.1603,0.8023,-0.4165,10.360,2.100,-2.800
378,0.1618,0.8072,-0.4148,9.940,1.750,-2.800
388,0.1642,0.8133,-0.4111,9.730,1.540,-2.870
398,0.1684,0.8186,-0.4089,9.800,1.120,-3.010
408,0.1718,0.8245,-0.4046,9.730,0.070,-2.590
418,0.1725,0.8281,-0.4004,10.010,-0.770,-1.820
428,0.1776,0.8296,-0.4006,10.290,-1.610,-1.330
438,0.1859,0.8284,-0.3985,10.500,-3.150,-0.210
448,0.1876,0.8257,-0.3987,10.640,-3.780,0.280
458,0.1886,0.8247,-0.3980,10.430,-4.340,0.420
468,0.1869,0.8272,-0.3972,9.940,-4.830,0.770
478,0.1835,0.8301,-0.3953,9.590,-5.320,1.050
488,0.1798,0.8364,-0.3943,9.730,-5.950,1.260
498,0.1740,0.8406,-0.3960,10.500,-6.720,1.540
508,0.1701,0.8486,-0.3994,10.920,-7.630,2.100
518,0.1676,0.8489,-0.4009,12.530,-8.890,3.010
528,0.1615,0.8447,-0.4019,13.300,-9.310,3.430
537,0.1571,0.8418,-0.3980,13.930,-9.450,3.920
547,0.1520,0.8386,-0.3970,14.770,-9.520,4.270
557,0.1508,0.8323,-0.3936,15.120,-9.660,4.480
567,0.1471,0.8259,-0.3928,15.610,-9.800,4.200
577,0.1471,0.8223,-0.3906,15.750,-10.150,3.920
587,0.1532,0.8145,-0.3843,15.540,-11.130,2.170
597,0.1581,0.8154,-0.3767,15.470,-11.760,1.330
607,0.1569,0.8093,-0.3762,15.960,-12.320,0.560
617,0.1593,0.8098,-0.3738,16.030,-12.950,-0.420
627,0.1618,0.8147,-0.3748,16.170,-13.090,-1.050
637,0.1610,0.8186,-0.3701,15.960,-13.370,-1.680
647,0.1579,0.8255,-0.3677,15.680,-13.300,-2.310
657,0.1515,0.8381,-0.3660,15.470,-12.110,-2.660
667,0.1454,0.8381,-0.3643,14.630,-11.340,-2.520
677,0.1474,0.8362,-0.3628,14.210,-10.500,-2.240
687,0.1520,0.8394,-0.3584,13.790,-9.870,-1.820
696,0.1554,0.8406,-0.3623,13.510,-9.100,-1.540
706,0.1615,0.8442,-0.3609,12.880,-8.820,-1.260
716,0.1701,0.8533,-0.3543,12.600,-8.330,-1.190
726,0.1706,0.8625,-0.3399,12.810,-8.330,-1.120
736,0.1828,0.8674,-0.3418,15.190,-8.890,-1.050
746,0.1791,0.8645,-0.3448,16.380,-9.450,-1.260
756,0.1830,0.8652,-0.3333,17.710,-9.940,-1.120
766,0.1879,0.8596,-0.3362,19.600,-10.430,-0.770
