t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1,-0.1035,0.1354,1.0529,-2.100,-2.590,2.800
11,-0.1005,0.1408,1.0492,-2.030,-2.100,2.940
21,-0.0978,0.1501,1.0494,-1.750,-1.610,2.940
31,-0.1005,0.1530,1.0485,-1.610,-0.700,2.800
41,-0.1003,0.1569,1.0448,-1.750,0.210,2.590
51,-0.1027,0.1645,1.0392,-1.820,1.680,2.240
60,-0.1025,0.1657,1.0375,-2.170,2.170,1.750
70,-0.1035,0.1620,1.0360,-2.100,2.520,1.400
80,-0.1032,0.1569,1.0338,-2.310,2.310,1.120
90,-0.1091,0.1505,1.0360,-2.870,1.680,0.490
100,-0.1181,0.1452,1.0350,-3.220,0.840,-0.210
110,-0.1454,0.1410,1.0304,-3.080,-0.420,-0.700
120,-0.1579,0.1388,1.0231,-2.170,-0.350,-0.840
130,-0.1664,0.1352,1.0099,-0.770,0.420,-1.190
140,-0.1735,0.1371,1.0067,0.630,1.820,-1.400
150,-0.1796,0.1364,1.0053,2.100,3.010,-1.400
160,-0.1842,0.1352,1.0097,3.290,3.920,-0.980
169,-0.1857,0.1330,1.0277,4.270,4.340,-0.490
179,-0.1835,0.1362,1.0360,4.060,3.780,-0.700
189,-0.1774,0.1371,1.0429,3.780,3.080,-0.770
199,-0.1693,0.1403,1.0458,3.640,2.590,-0.770
209,-0.1635,0.1420,1.0448,3.290,1.960,-0.910
219,-0.1584,0.1452,1.0455,2.730,1.120,-0.700
229,-0.1457,0.1540,1.0560,1.540,-0.350,0.140
239,-0.1398,0.1532,1.0575,1.750,-1.190,0.630
249,-0.1342,0.1471,1.0502,2.730,-1.820,0.980
259,-0.1269,0.1432,1.0448,3.010,-2.170,1.330
269,-0.1171,0.1371,1.0363,3.150,-2.170,1.470
278,-0.1069,0.1340,1.0353,3.080,-2.310,1.330
288,-0.0854,0.1210,1.0304,2.590,-2.870,0.630
298,-0.0761,0.1208,1.0333,1.680,-3.010,0.280
308,-0.0695,0.1198,1.0341,0.420,-3.010,0.210
318,-0.0669,0.1213,1.0333,-0.770,-2.660,0.140
328,-0.0656,0.1286,1.0348,-1.260,-1.960,0.070
338,-0.0642,0.1247,1.0285,-1.610,-1.260,0.280
348,-0.0600,0.1310,1.0336,-1.120,0.280,0.140
358,-0.0590,0.1322,1.0368,-0.140,0.140,0.630
368,-0.0566,0.1279,1.0387,1.260,-0.210,1.120
378,-0.0593,0.1261,1.0411,2.030,-0.350,1.190
388,-0.0676,0.1230,1.0468,2.310,-0.910,1.400
397,-0.0749,0.1191,1.0502,2.730,-0.840,1.540
407,-0.0917,0.1240,1.0465,1.470,0.700,1.260
417,-0.0993,0.1374,1.0451,0.840,1.400,1.330
427,-0.1054,0.1415,1.0377,0.560,2.240,1.190
437,-0.1110,0.1464,1.0314,0.350,2.520,0.910
447,-0.1161,0.1462,1.0197,0.420,2.380,0.420
457,-0.1198,0.1503,1.0165,-0.070,2.310,-0.630
