t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1,-0.0168,0.9462,-0.3633,-2.380,0.770,-0.490
11,-0.0290,0.9423,-0.3665,-2.170,0.490,-0.560
21,-0.0381,0.9394,-0.3714,-2.520,0.140,-0.700
31,-0.0447,0.9348,-0.3750,-2.660,-0.350,-0.630
41,-0.0437,0.9301,-0.3777,-2.800,-0.490,-0.350
51,-0.0344,0.9328,-0.3814,-3.150,-0.770,-0.140
61,-0.0259,0.9374,-0.3816,-2.940,0.070,0.000
71,-0.0217,0.9404,-0.3821,-2.450,0.770,0.140
80,-0.0198,0.9399,-0.3877,-1.680,1.680,0.210
90,-0.0205,0.9350,-0.3928,-0.910,2.240,0.280
100,-0.0246,0.9311,-0.3980,-0.840,2.450,0.280
110,-0.0278,0.9260,-0.4085,-1.750,1.960,0.630
120,-0.0220,0.9265,-0.4102,-2.520,1.330,0.770
130,-0.0146,0.9294,-0.4072,-3.080,0.980,1.190
140,-0.0088,0.9367,-0.3989,-3.360,0.280,1.680
150,-0.0061,0.9406,-0.3941,-2.730,-0.210,1.750
160,-0.0085,0.9409,-0.3914,-1.820,-0.490,1.680
170,-0.0205,0.9355,-0.3965,0.070,-1.050,0.980
180,-0.0266,0.9296,-0.4004,0.630,-1.260,0.560
190,-0.0290,0.9267,-0.4033,0.490,-1.610,0.490
200,-0.0315,0.9274,-0.4026,0.070,-2.100,0.280
209,-0.0300,0.9321,-0.3982,-0.350,-2.240,0.280
219,-0.0303,0.9353,-0.3924,-0.420,-1.890,0.490
229,-0.0376,0.9396,-0.3836,0.140,-0.980,1.050
239,-0.0410,0.9401,-0.3828,0.630,-0.420,1.120
249,-0.0451,0.9394,-0.3860,0.700,-0.350,1.330
259,-0.0495,0.9345,-0.3897,0.420,-0.560,1.260
269,-0.0498,0.9323,-0.3899,-0.070,-0.700,1.120
279,-0.0444,0.9304,-0.3880,-0.420,-1.050,1.050
289,-0.0329,0.9355,-0.3838,-0.490,-0.700,0.280
299,-0.0300,0.9360,-0.3819,-0.070,-0.140,-0.280
309,-0.0266,0.9362,-0.3833,0.490,0.350,-0.350
319,-0.0227,0.9365,-0.3855,0.840,0.840,-0.420
329,-0.0205,0.9399,-0.3872,1.400,0.700,-0.700
338,-0.0232,0.9421,-0.3938,1.680,0.280,-0.630
348,-0.0249,0.9426,-0.3948,2.800,-0.630,-0.210
358,-0.0264,0.9428,-0.3924,3.360,-1.470,-0.140
368,-0.0251,0.9389,-0.3899,3.920,-2.170,-0.280
378,-0.0205,0.9382,-0.3892,4.340,-2.450,-0.420
388,-0.0171,0.9399,-0.3919,5.110,-3.080,-0.630
398,-0.0100,0.9426,-0.3938,5.530,-3.080,-0.840
408,0.0029,0.9516,-0.3884,5.740,-2.240,-1.820
418,0.0000,0.9489,-0.3853,6.300,-2.310,-2.240
428,-0.0071,0.9426,-0.3858,7.280,-2.170,-2.170
438,-0.0173,0.9360,-0.3894,8.400,-1.750,-2.100
448,-0.0259,0.9301,-0.3945,9.100,-0.770,-1.890
458,-0.0271,0.9306,-0.3994,9.310,0.630,-1.540
468,-0.0261,0.9453,-0.4055,8.050,3.290,-0.560
477,-0.0227,0.9575,-0.4053,7.560,3.430,0.350
487,-0.0232,0.9638,-0.4004,7.560,2.590,0.980
497,-0.0288,0.9662,-0.3977,8.330,1.120,1.190
507,-0.0234,0.9655,-0.3994,9.590,-0.630,1.400
517,-0.0310,0.9575,-0.3975,11.130,-2.100,1.120
527,-0.0322,0.9448,-0.3904,13.370,-3.640,-0.210
537,-0.0371,0.9472,-0.3865,14.280,-3.500,-0.840
547,-0.0476,0.9492,-0.3843,14.770,-2.730,-1.890
557,-0.0564,0.9536,-0.3819,15.120,-1.540,-2.380
567,-0.0671,0.9587,-0.3819,15.610,-0.630,-2.310
